layer,level,class,id,plot_id,percentage_inside,Site,cover,clumpy,pd,pland
1,class,0,NA,124,100.1509039,vhu,coral,0.988682747,16.974385,34.67525927
1,class,0,NA,125,100.0311061,vhu,coral,0.989151689,12.99595746,20.80609117
1,class,0,NA,126,100.0311061,vhu,coral,0.988352763,14.99533553,27.34191903
1,class,0,NA,127,100.1509039,vhu,coral,0.987937849,17.97287823,32.99890112
1,class,0,NA,128,100.1509039,vhu,coral,0.988107892,13.97890529,24.36642934
1,class,0,NA,129,100.0311061,vhu,coral,0.990489738,10.99657939,30.33865284
1,class,0,NA,130,100.1509039,vhu,coral,0.990059509,13.97890529,25.56775257
1,class,0,NA,131,100.0311061,vhu,coral,0.989869463,15.99502457,29.58642524
1,class,0,NA,132,99.91145171,vhu,coral,0.986229798,20.01772535,32.43242856
1,class,0,NA,133,100.0311061,vhu,coral,0.986064295,20.99346974,27.6817179
