plot_id,class,Site,cover,level,layer,id,percentage_inside,clumpy,pd,pland,NA
77,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
77,0,vhu,coral,class,1,NA,100.0311061,0.989177629,11.99626842,22.70506833,NA
78,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
78,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
78,0,vhu,coral,class,1,NA,100.0311061,0.987994202,16.9947136,33.42205541,NA
79,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
79,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
79,0,vhu,coral,class,1,NA,99.91145171,0.990697911,11.00974894,28.69288967,NA
80,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
80,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
80,0,vhu,coral,class,1,NA,100.0311061,0.990453617,11.99626842,18.60842907,NA
81,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
81,0,man,coral,class,1,NA,100.0900777,0.989612213,6.993700234,11.23514157,NA
81,0,vhu,coral,class,1,NA,100.0311061,0.988360367,13.99564649,26.30705097,NA
82,1,ana,coral,class,1,NA,99.89351896,0.992255691,3.003197836,0.965693659,NA
82,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
82,0,vhu,coral,class,1,NA,99.91145171,0.9873574,17.01506655,33.51242425,NA
83,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
83,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
83,0,vhu,coral,class,1,NA,100.0311061,0.986337951,19.99378071,40.87470991,NA
84,1,ana,coral,class,1,NA,99.99391446,0.99770165,1.000060859,1.280170986,NA
84,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
84,0,vhu,coral,class,1,NA,100.0311061,0.984763321,26.99160395,37.00369596,NA
85,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
85,0,man,coral,class,1,NA,100.0900777,0.987301591,8.991900301,10.72517264,NA
85,0,vhu,coral,class,1,NA,99.91145171,0.98350132,26.02304296,38.11237405,NA
86,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
86,0,man,coral,class,1,NA,100.0900777,0.993839697,1.998200067,3.210153485,NA
86,0,vhu,coral,class,1,NA,99.91145171,0.985566381,24.02127042,30.64577432,NA
87,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
87,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
87,0,vhu,coral,class,1,NA,100.0311061,0.987457035,16.9947136,25.96080566,NA
88,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
88,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
88,0,vhu,coral,class,1,NA,100.0311061,0.987573952,18.99409167,30.59751311,NA
89,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
89,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
89,0,vhu,coral,class,1,NA,99.91145171,0.988173193,15.01329402,29.14310302,NA
90,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
90,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
90,0,vhu,coral,class,1,NA,100.0311061,0.994433463,4.998445177,9.095206716,NA
91,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
91,0,man,coral,class,1,NA,100.0900777,0.993636608,1.998200067,3.171381604,NA
91,0,vhu,coral,class,1,NA,100.0311061,0.986984445,20.99346974,33.22336189,NA
92,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
92,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
92,0,vhu,coral,class,1,NA,99.91145171,0.988153914,14.01240775,21.53451181,NA
93,1,ana,coral,class,1,NA,100.094512,0.997965594,0.999055773,0.961433674,NA
93,0,man,coral,class,1,NA,99.94930406,0.993247072,2.001014433,1.658841941,NA
93,0,vhu,coral,class,1,NA,100.0311061,0.98720876,18.99409167,26.30748073,NA
94,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
94,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
94,0,vhu,coral,class,1,NA,100.0311061,0.985702491,19.99378071,24.31037447,NA
95,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
95,0,man,coral,class,1,NA,100.0900777,0.990708168,1.998200067,1.863226256,NA
95,0,vhu,coral,class,1,NA,99.91145171,0.989432383,16.01418028,24.85940693,NA
96,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
96,0,man,coral,class,1,NA,100.0900777,0.991928775,0.999100033,1.143177039,NA
96,0,vhu,coral,class,1,NA,99.91145171,0.987514604,19.01683909,39.68460683,NA
97,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
97,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
97,0,vhu,coral,class,1,NA,100.0311061,0.988271227,21.99315878,31.82090365,NA
98,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
98,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
98,0,vhu,coral,class,1,NA,100.0311061,0.988369607,18.99409167,34.38572616,NA
99,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
99,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
99,0,vhu,coral,class,1,NA,99.91145171,0.984636526,18.01595282,15.57173079,NA
100,1,ana,coral,class,1,NA,100.094512,0.993353885,2.997167319,2.459587092,NA
100,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
100,0,vhu,coral,class,1,NA,100.0311061,0.988177363,12.99595746,22.09580838,NA
101,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
101,0,man,coral,class,1,NA,99.94930406,0.99376873,2.001014433,2.854539332,NA
101,0,vhu,coral,class,1,NA,100.0311061,0.985214737,21.99315878,36.95943042,NA
102,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
102,0,man,coral,class,1,NA,99.94930406,0.997033682,1.000507217,1.129533884,NA
102,0,vhu,coral,class,1,NA,99.91145171,0.98765879,16.01418028,29.31392305,NA
103,1,ana,coral,class,1,NA,99.99391446,0.997028192,1.000060859,0.433322829,NA
103,0,man,coral,class,1,NA,99.80872838,0.993620263,3.005749145,3.122197977,NA
103,0,vhu,coral,class,1,NA,100.0311061,0.983450641,25.99191492,36.84869495,NA
104,1,ana,coral,class,1,NA,99.99391446,0.996661864,1.000060859,0.817555938,NA
104,0,man,coral,class,1,NA,99.94930406,1,1.000507217,7.92E-04,NA
104,0,vhu,coral,class,1,NA,100.0311061,0.986109978,21.99315878,28.623041,NA
105,1,ana,coral,class,1,NA,99.89351896,0.997583501,1.001065945,1.282974227,NA
105,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
105,0,vhu,coral,class,1,NA,99.91145171,0.986873176,18.01595282,38.38832515,NA
106,1,ana,coral,class,1,NA,99.89351896,0.991245789,2.002131891,1.723203543,NA
106,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
106,0,vhu,coral,class,1,NA,99.91145171,0.988676708,16.01418028,28.70493743,NA
107,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
107,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
107,0,vhu,coral,class,1,NA,100.0311061,0.989173942,16.9947136,25.01088732,NA
108,1,ana,coral,class,1,NA,99.99391446,0.990321503,3.000182577,1.880459464,NA
108,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
108,0,vhu,coral,class,1,NA,100.0311061,0.988806995,6.997823247,7.279030456,NA
109,1,ana,coral,class,1,NA,99.89351896,0.991220515,3.003197836,2.75229265,NA
109,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
109,0,vhu,coral,class,1,NA,99.91145171,0.989244672,11.00974894,15.2171824,NA
110,1,ana,coral,class,1,NA,99.99391446,0.993405732,1.000060859,0.757355377,NA
110,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
110,0,vhu,coral,class,1,NA,100.0311061,0.987489971,16.9947136,23.97888434,NA
111,1,ana,coral,class,1,NA,99.99391446,0.992866368,4.000243437,4.3743384,NA
111,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
111,0,vhu,coral,class,1,NA,100.0311061,0.985431647,20.99346974,34.92163997,NA
112,1,ana,coral,class,1,NA,99.89351896,0.997507753,1.001065945,2.363123464,NA
112,0,man,coral,class,1,NA,100.0900777,0.987281971,7.992800267,11.49764303,NA
112,0,vhu,coral,class,1,NA,99.91145171,0.987397971,16.01418028,21.48804188,NA
113,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
113,0,man,coral,class,1,NA,99.94930406,0.987771008,5.002536083,5.373704958,NA
113,0,vhu,coral,class,1,NA,100.0311061,0.987772794,17.99440264,24.58055182,NA
114,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
114,0,man,coral,class,1,NA,100.0900777,0.997155516,0.999100033,1.427833859,NA
114,0,vhu,coral,class,1,NA,100.0311061,0.987437867,19.99378071,38.00045841,NA
115,1,ana,coral,class,1,NA,99.89351896,0.992930917,3.003197836,3.819196587,NA
115,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
115,0,vhu,coral,class,1,NA,99.91145171,0.988415868,16.01418028,25.34275162,NA
116,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
116,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
116,0,vhu,coral,class,1,NA,99.91145171,0.990312157,12.01063521,37.71680591,NA
117,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
117,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
117,0,vhu,coral,class,1,NA,100.0311061,0.985196622,21.99315878,39.69615792,NA
118,1,ana,coral,class,1,NA,99.99391446,0.984651964,2.000121718,0.081917206,NA
118,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
118,0,vhu,coral,class,1,NA,100.0311061,0.991533844,6.997823247,10.61112225,NA
119,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
119,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
119,0,vhu,coral,class,1,NA,99.91145171,0.990387891,9.007976409,12.11301947,NA
120,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
120,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
120,0,vhu,coral,class,1,NA,100.0311061,0.988631376,15.99502457,33.52749047,NA
