plot_id,class,Site,cover,level,layer,id,percentage_inside,pland,NA
133,1,ana,poci,class,NA,NA,NA,0.0,NA
133,0,man,poci,class,1,NA,99.9,9.8,NA
133,0,vhu,poci,class,1,NA,100.0,27.7,NA
134,1,ana,poci,class,NA,NA,NA,0.0,NA
134,0,man,poci,class,1,NA,100.1,9.2,NA
134,0,vhu,poci,class,1,NA,100.0,24.9,NA
135,1,ana,poci,class,NA,NA,NA,0.0,NA
135,0,man,poci,class,1,NA,100.1,0.9,NA
135,0,vhu,poci,class,1,NA,100.0,40.0,NA
136,1,ana,poci,class,1,NA,99.9,0.8,NA
136,0,man,poci,class,1,NA,100.1,8.4,NA
136,0,vhu,poci,class,1,NA,99.9,32.8,NA
137,1,ana,poci,class,1,NA,100.0,0.8,NA
137,0,man,poci,class,1,NA,100.1,2.3,NA
137,0,vhu,poci,class,1,NA,100.0,12.5,NA
138,1,ana,poci,class,NA,NA,NA,0.0,NA
138,0,man,poci,class,NA,NA,NA,0.0,NA
138,0,vhu,poci,class,1,NA,100.0,18.1,NA
139,1,ana,poci,class,NA,NA,NA,0.0,NA
139,0,man,poci,class,NA,NA,NA,0.0,NA
139,0,vhu,poci,class,1,NA,99.9,26.9,NA
140,1,ana,poci,class,1,NA,100.0,0.6,NA
140,0,man,poci,class,NA,NA,NA,0.0,NA
140,0,vhu,poci,class,1,NA,100.0,36.1,NA
141,1,ana,poci,class,NA,NA,NA,0.0,NA
141,0,man,poci,class,1,NA,99.9,2.5,NA
141,0,vhu,poci,class,1,NA,100.0,37.3,NA
142,1,ana,poci,class,1,NA,99.9,0.3,NA
142,0,man,poci,class,1,NA,99.9,14.3,NA
142,0,vhu,poci,class,1,NA,99.9,35.1,NA
143,1,ana,poci,class,1,NA,100.0,2.5,NA
143,0,man,poci,class,1,NA,99.8,9.6,NA
143,0,vhu,poci,class,1,NA,100.0,36.6,NA
144,1,ana,poci,class,1,NA,100.0,0.5,NA
144,0,man,poci,class,1,NA,99.9,5.5,NA
144,0,vhu,poci,class,1,NA,100.0,37.2,NA
145,1,ana,poci,class,1,NA,100.0,2.8,NA
