point,transect,x,y,z
492,A,-0.4649,-18.6940,-8.9703
493,A,-0.4669,-18.6842,-8.9724
494,A,-0.4689,-18.6744,-8.9721
495,A,-0.4709,-18.6646,-8.9888
496,A,-0.4729,-18.6548,-8.9969
497,A,-0.4749,-18.6450,-8.9775
498,A,-0.4770,-18.6352,-8.9766
499,A,-0.4790,-18.6253,-8.9760
500,A,-0.4810,-18.6155,-8.9773
501,A,-0.4830,-18.6057,-8.9774
502,A,-0.4850,-18.5959,-8.9787
503,A,-0.4870,-18.5861,-9.0119
504,A,-0.4891,-18.5763,-9.0155
505,A,-0.4911,-18.5665,-9.0128
506,A,-0.4931,-18.5567,-8.9857
507,A,-0.4951,-18.5469,-8.9702
508,A,-0.4971,-18.5371,-8.9683
509,A,-0.4991,-18.5273,-8.9674
510,A,-0.5012,-18.5175,-8.9665
511,A,-0.5032,-18.5077,-8.9665
512,A,-0.5052,-18.4979,-8.9689
513,A,-0.5072,-18.4881,-8.9842
514,A,-0.5092,-18.4783,-8.9906
515,A,-0.5112,-18.4685,-8.9914
516,A,-0.5133,-18.4587,-9.0033
517,A,-0.5153,-18.4489,-9.0127
518,A,-0.5173,-18.4391,-9.0170
519,A,-0.5193,-18.4293,-9.0216
520,A,-0.5213,-18.4194,-9.0188
521,A,-0.5233,-18.4096,-9.0139
522,A,-0.5253,-18.3998,-9.0122
523,A,-0.5274,-18.3900,-9.0122
524,A,-0.5294,-18.3802,-9.0141
525,A,-0.5314,-18.3704,-9.0152
526,A,-0.5334,-18.3606,-9.0167
527,A,-0.5354,-18.3508,-9.0149
528,A,-0.5374,-18.3410,-9.0108
529,A,-0.5395,-18.3312,-9.0107
530,A,-0.5415,-18.3214,-9.0097
531,A,-0.5435,-18.3116,-9.0079
532,A,-0.5455,-18.3018,-9.0079
533,A,-0.5475,-18.2920,-9.0127
534,A,-0.5495,-18.2822,-9.0110
535,A,-0.5516,-18.2724,-8.9946
536,A,-0.5536,-18.2626,-8.9938
537,A,-0.5556,-18.2528,-8.9951
538,A,-0.5576,-18.2430,-8.9909
539,A,-0.5596,-18.2332,-8.9938
540,A,-0.5616,-18.2233,-8.9886
541,A,-0.5636,-18.2135,-8.9886
542,A,-0.5657,-18.2037,-8.9943
543,A,-0.5677,-18.1939,-8.9971
544,A,-0.5697,-18.1841,-8.9971
545,A,-0.5717,-18.1743,-9.0003
546,A,-0.5737,-18.1645,-9.0281
547,A,-0.5757,-18.1547,-9.0351
548,A,-0.5778,-18.1449,-9.0274
549,A,-0.5798,-18.1351,-9.0146
550,A,-0.5818,-18.1253,-9.0129
551,A,-0.5838,-18.1155,-9.0125
552,A,-0.5858,-18.1057,-9.0125
553,A,-0.5878,-18.0959,-9.0142
554,A,-0.5899,-18.0861,-9.0368
555,A,-0.5919,-18.0763,-9.0435
556,A,-0.5939,-18.0665,-9.0444
557,A,-0.5959,-18.0567,-9.1382
558,A,-0.5979,-18.0469,-9.1368
559,A,-0.5999,-18.0371,-9.1384
560,A,-0.6019,-18.0272,-9.1285
561,A,-0.6040,-18.0174,-9.1232
562,A,-0.6060,-18.0076,-9.1248
563,A,-0.6080,-17.9978,-9.1423
564,A,-0.6100,-17.9880,-9.1561
565,A,-0.6120,-17.9782,-9.1571
566,A,-0.6140,-17.9684,-9.1336
567,A,-0.6161,-17.9586,-9.1310
568,A,-0.6181,-17.9488,-9.1331
569,A,-0.6201,-17.9390,-9.1336
570,A,-0.6221,-17.9292,-9.1344
571,A,-0.6241,-17.9194,-9.1368
572,A,-0.6261,-17.9096,-9.1479
573,A,-0.6282,-17.8998,-9.1504
574,A,-0.6302,-17.8900,-9.1920
575,A,-0.6322,-17.8802,-9.2010
576,A,-0.6342,-17.8704,-9.2006
